Geneid	B032-1	B032-2	B032-4	B032-6	OM5011-1	OM5011-2	OM5011-4	OM5011-6	OM5334-1	OM5334-2	OM5334-4	OM5334-6
DDB2	3186	4871	4160	3183	3028	3535	4022	2928	4213	4409	4119	2558
RP11-17G12.2	1	7	0	0	6	1	0	2	2	0	15	2
ACP2	506	453	505	743	653	474	516	704	1073	1067	748	776
NR1H3	403	566	508	326	429	431	571	435	502	474	414	212
MADD	3930	5115	4643	3951	3823	3135	3844	3658	4524	4379	3665	2630
RP11-17G12.3	0	0	0	1	0	0	0	0	0	0	0	0
RP11-125F14.2	0	0	0	0	0	1	0	0	1	1	1	0
MYBPC3	1	0	3	1	0	12	0	0	0	3	0	0
SPI1	195	309	155	127	205	135	30	154	84	92	35	53
RP11-750H9.5	1	7	2	2	0	3	10	2	0	4	1	4
MIR4487	0	0	0	0	0	0	0	0	0	0	0	0
SLC39A13	2290	2907	2675	2070	2562	2815	3066	3339	4142	3614	3118	2566
PSMC3	4634	6122	4472	5333	4701	4725	4551	6513	5903	7023	5099	5082
RAPSN	56	58	88	26	50	57	67	44	45	25	42	43
CELF1	5269	7356	6076	5714	6335	6789	6078	6488	8743	7789	7741	5642
RP11-750H9.7	6	18	3	12	8	9	4	3	13	19	28	9
RN7SL652P	1	1	0	0	0	0	0	0	2	2	0	0
NDUFS3	2666	3300	2759	2701	2637	2264	2652	2844	3996	3941	3299	2540
PTPMT1	853	1034	838	910	1049	881	884	1131	877	1082	857	773
KBTBD4	404	687	484	238	472	630	588	477	543	756	482	329
RNU5E-10P	6	5	3	5	7	6	2	6	1	7	3	4
RP11-76I23.7	0	0	0	0	0	0	0	0	0	0	0	0
FAM180B	4	1	0	2	0	2	0	0	0	0	0	1
C1QTNF4	39	64	79	21	27	8	15	1	43	3	37	4
MTCH2	1947	2283	1681	1652	1893	1868	1804	2044	2014	2170	1711	1566
AGBL2	27	37	98	48	33	73	49	34	96	58	115	70
FNBP4	7263	10802	9341	7931	8776	8335	10173	8225	9962	9864	9459	6521
NUP160	1065	1727	1333	1284	1418	1637	1448	1384	2709	2473	2085	1609
RP11-692M12.5	3	3	2	1	6	3	3	4	9	2	6	5
RNA5SP340	0	0	0	0	1	1	0	0	0	0	2	1
RP11-692M12.4	18	67	43	41	29	27	44	11	54	11	37	27
RP11-793I11.1	52	51	47	54	40	17	39	27	29	28	29	19
PTPRJ	2731	3628	2553	1409	2810	2143	2389	1894	2017	2053	1727	849
AC103828.1	38	96	60	8	37	50	57	13	34	25	27	12
MIR3161	0	0	0	0	0	3	0	0	0	0	0	0
OR4B1	0	0	0	0	0	0	0	0	0	0	0	0
OR4B2P	0	0	0	0	0	2	0	0	0	0	0	0
OR4X2	0	0	0	0	0	0	0	0	0	0	0	0
OR4X1	0	0	0	0	0	0	0	0	0	0	0	0
OR4S1	0	0	0	0	0	0	0	0	0	0	0	0
OR4C3	0	0	0	0	0	0	0	0	0	0	0	0
OR4C4P	0	0	0	0	0	0	0	0	0	0	0	0
OR4C5	0	1	0	0	0	0	0	0	0	0	0	0
OR4C2P	0	0	0	0	1	0	0	0	0	0	0	0
OR4C10P	0	0	0	0	0	0	0	0	0	0	0	0
OR4C9P	0	0	0	0	0	0	0	0	0	0	0	0
OR4R1P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A47	0	0	0	0	0	0	0	0	0	0	0	0
OR4A48P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A46P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A40P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A43P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A45P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A41P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A42P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A44P	0	0	0	0	0	0	0	0	0	0	0	0
RP11-56P9.5	0	0	0	0	0	0	0	0	0	0	0	0
RP11-56P9.10	0	0	0	0	0	0	0	0	0	0	0	0
RP11-56P9.6	0	0	0	0	0	0	0	0	0	0	0	0
RP11-56P9.4	0	0	0	0	0	0	0	0	0	0	0	0
TRIM51CP	0	0	0	0	0	0	0	0	0	0	0	0
RP11-56P9.8	0	0	0	0	0	0	0	0	0	0	0	0
RP11-56P9.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-56P9.9	0	0	0	0	0	0	0	0	0	0	0	0
RP11-56P9.11	0	0	0	0	0	0	0	0	0	0	0	0
TRIM49B	0	0	0	0	0	0	0	0	0	0	0	0
TRIM64C	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2132H18.5	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2132H18.3	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2132H18.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-107P7.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-107P7.6	0	0	0	0	0	0	0	0	0	0	0	0
RP11-107P7.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-107P7.5	0	0	0	0	0	0	0	0	0	0	0	0
RP11-107P7.4	0	0	0	0	0	0	0	0	0	0	0	1
FOLH1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2026G22.1	0	0	0	0	0	0	0	0	0	0	0	0
TYRL	0	0	0	0	0	0	0	0	0	0	0	0
RP11-61N20.1	0	1	0	0	0	0	0	0	0	0	0	1
RP11-61N20.3	1	8	4	10	5	12	9	14	4	8	10	13
RP11-707M1.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-707M1.7	0	0	0	0	0	0	0	0	0	0	0	0
RP11-707M1.9	0	0	0	0	0	0	0	0	0	0	0	0
RP11-707M1.4	0	0	0	0	0	0	0	0	0	0	0	0
RP11-163O19.16	0	0	0	0	0	0	0	0	0	0	0	0
RP11-163O19.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-163O19.11	0	0	0	0	0	0	0	0	0	0	0	0
RP11-163O19.10	0	0	0	0	0	0	0	0	0	0	0	0
RP11-163O19.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-163O19.3	0	0	0	0	0	0	0	0	0	0	0	0
RP11-163O19.8	0	0	0	0	0	0	0	0	0	0	0	0
OR4A1P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A49P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A18P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A19P	0	0	0	0	0	0	0	0	0	0	0	0
OR4R3P	0	0	0	0	0	0	0	0	0	0	0	0
OR4C13	0	0	0	0	0	2	0	0	0	0	0	0
OR4C12	0	0	0	0	0	0	0	0	0	0	0	0
OR4C48P	0	0	0	0	0	0	0	0	0	0	0	0
OR4C45	0	0	0	0	0	0	0	0	0	1	0	0
OR4C49P	0	0	0	0	0	0	0	0	0	0	0	0
RP11-227P3.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-347H15.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-347H15.6	0	0	0	0	0	0	0	0	0	0	0	0
RP11-347H15.2	2	0	6	0	1	0	2	4	0	0	1	0
RP11-347H15.5	25	32	31	21	22	12	14	11	17	12	5	9
RP11-347H15.3	0	0	0	0	0	0	1	0	0	0	0	0
RP11-347H15.4	0	1	0	0	0	0	0	2	0	0	0	0
RP11-574M7.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-574M7.2	0	0	1	4	0	0	0	0	1	0	0	0
OR4C50P	0	0	0	0	0	0	0	0	0	0	0	0
OR4C46	0	0	0	0	0	0	0	0	0	0	0	0
OR4C7P	0	0	0	0	0	0	0	0	0	0	0	0
OR4R2P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A4P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A3P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A2P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A8P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A7P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A5	0	0	0	0	0	0	0	0	0	0	0	0
OR4A6P	0	0	0	0	0	0	0	0	0	0	0	0
TRIM48	0	0	0	0	0	0	0	0	0	0	0	0
RP11-72M10.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-72M10.4	0	0	0	0	0	0	0	0	0	0	0	0
RP11-72M10.8	0	0	0	0	0	0	0	0	0	0	0	0
RP11-72M10.6	0	0	0	0	0	0	0	0	0	0	0	0
RP11-72M10.5	0	0	0	0	0	0	0	0	0	0	0	0
OR4A11P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A12P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A16	0	0	0	0	0	0	0	0	0	0	0	0
OR4A15	0	0	0	0	0	0	0	0	0	0	0	0
OR4A9P	0	0	0	0	0	0	0	0	0	0	0	0
OR4X7P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A10P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A17P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A13P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A50P	0	0	0	0	0	0	0	0	0	0	0	0
OR4A21P	0	0	0	0	0	0	0	0	0	0	0	0
OR4C1P	0	0	0	0	0	0	0	0	0	0	0	0
OR4C14P	0	0	0	0	0	0	0	0	0	0	0	0
OR4C15	0	0	0	0	0	0	0	0	0	0	0	0
OR4C16	0	0	0	0	0	0	0	0	0	0	0	0
OR4C11	0	0	0	0	0	0	0	0	0	0	0	0
OR4P4	0	0	0	0	0	0	0	0	0	0	0	0
OR4S2	0	0	0	0	0	0	0	0	0	0	0	0
OR4C6	2	2	1	8	0	0	0	0	0	0	0	0
OR4V1P	0	0	0	0	0	0	0	0	0	0	0	0
OR4P1P	0	0	0	0	0	0	0	0	0	0	0	0
RP11-674C21.9	0	0	0	0	0	0	0	0	1	0	0	0
OR5D2P	0	0	0	0	0	0	0	0	0	0	0	0
OR5D3P	0	0	0	0	0	0	0	0	0	0	0	0
OR5D17P	0	0	0	0	0	0	0	0	0	0	0	0
OR5D13	0	0	0	0	0	0	0	0	0	0	0	0
OR5D15P	0	0	0	0	0	0	0	0	0	0	0	0
OR5D14	0	0	0	0	0	0	0	0	0	0	0	0
OR5L1	0	0	0	0	0	0	0	0	0	0	0	0
OR5D18	0	0	0	0	0	0	0	0	0	0	0	0
OR5L2	0	0	0	0	0	0	0	0	0	0	0	0
OR5D16	0	0	0	0	0	0	0	0	0	0	0	0
OR9M1P	0	0	0	1	0	0	0	0	0	0	0	0
RP11-738O11.9	0	0	0	0	0	0	0	0	0	0	0	0
RP11-738O11.12	0	0	0	0	0	0	0	0	0	0	0	0
RP11-738O11.13	0	0	0	0	0	0	0	0	0	0	0	0
TRIM51	0	0	0	0	0	0	0	0	0	0	0	0
OR5W1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5W2	0	0	0	0	0	0	0	0	0	0	0	0
OR5I1	0	0	0	0	0	0	0	0	0	0	0	0
OR10AF1P	0	0	0	0	0	0	0	0	0	0	0	0
OR10AK1P	0	0	0	0	0	0	0	0	0	0	0	0
OR10AG1	0	0	0	0	0	0	0	0	0	0	0	0
OR7E5P	0	0	0	0	0	0	0	0	0	0	0	0
OR5F1	0	0	0	0	0	0	0	0	0	0	0	0
OR5F2P	0	0	0	0	0	0	0	0	0	0	0	0
OR5AS1	0	0	1	0	0	0	0	0	0	0	0	0
OR5AQ1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5J1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5BE1P	0	0	0	0	0	0	0	0	0	0	0	0
OR8I2	0	0	0	0	0	0	0	0	0	0	0	0
OR8I4P	0	0	0	0	0	0	0	0	0	0	0	0
OR8H2	0	0	0	0	0	0	0	0	0	0	0	0
OR5BN2P	0	0	0	0	0	0	0	0	0	0	0	0
OR8H3	0	0	0	0	0	0	0	0	0	0	0	0
OR5BN1P	0	0	0	0	0	0	0	0	0	0	0	0
OR8J3	0	0	0	0	1	0	0	0	0	0	0	0
OR8K4P	0	0	0	0	0	0	0	0	0	0	0	0
OR8K5	0	0	0	0	0	0	0	0	0	0	0	0
OR5J7P	0	0	0	0	0	0	0	0	0	0	0	0
OR5J2	0	0	0	0	0	0	0	0	0	0	0	0
OR8V1P	0	0	0	0	0	0	0	0	0	0	0	0
RP11-444K7.8	1	0	0	0	0	0	0	0	0	0	0	0
OR8J2	0	0	0	0	0	0	0	0	0	0	0	0
OR5T2	0	0	0	0	0	0	0	0	0	0	0	0
OR5T3	0	0	0	0	0	0	0	0	0	0	0	0
OR5T1	0	0	0	0	0	0	0	0	0	0	0	0
OR8H1	1	0	0	0	0	0	2	0	0	0	0	0
OR8I1P	0	0	0	0	0	0	0	0	0	0	0	0
OR8K3	0	0	0	0	0	0	1	0	0	0	0	0
FAM8A2P	0	0	0	1	0	1	0	0	0	0	0	0
OR8K2P	0	0	0	0	0	0	0	0	0	0	0	0
OR8K1	0	0	0	0	0	0	0	0	0	0	0	0
OR8J1	0	0	0	0	0	0	0	0	0	0	0	0
RPL5P29	15	18	17	19	21	13	5	14	30	30	22	13
OR8U1	0	0	0	0	0	0	0	0	0	0	0	0
OR8L1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5AL2P	0	0	0	0	0	0	0	0	0	0	0	0
OR5AL1	0	0	0	0	0	0	0	0	0	0	0	0
OR5R1	0	0	0	0	0	0	0	0	0	0	0	0
OR5M4P	0	0	0	0	0	0	0	0	0	0	0	0
CTD-3051L14.15	3	0	0	0	0	0	1	0	0	0	0	0
OR5M9	0	0	0	0	0	0	0	0	0	0	0	0
OR5M3	0	0	0	0	0	0	0	0	0	0	0	0
OR5M2P	0	0	0	0	0	0	0	0	0	0	0	0
OR5M8	0	0	0	0	0	0	0	0	0	0	0	0
CTD-3051L14.13	0	0	0	0	0	0	0	0	0	0	0	0
OR5M7P	0	0	0	0	0	0	0	0	0	0	0	0
CTD-3051L14.14	0	0	0	0	0	0	0	0	0	0	0	0
OR5M6P	0	0	0	0	0	1	0	0	0	0	0	0
OR5M5P	0	0	0	0	0	0	0	0	0	0	0	0
OR5M11	0	0	0	0	0	0	0	0	0	0	0	0
OR5M10	0	0	0	0	0	0	0	0	0	0	0	0
OR5M13P	0	0	0	0	0	0	0	0	0	0	0	0
OR5M1	0	0	0	0	0	0	0	0	0	0	0	0
OR5AM1P	0	0	0	0	0	0	0	0	0	3	0	0
OR5M12P	0	0	0	0	0	0	0	0	0	0	0	0
OR5AP1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5AP2	0	0	0	0	0	0	0	0	0	0	0	0
OR5AR1	0	0	0	0	0	0	0	0	0	0	0	0
OR2AH1P	0	0	0	0	0	0	0	0	0	0	0	0
RP11-59K5.1	2	6	8	2	7	1	0	3	5	3	7	3
OR9G1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-100N3.2	0	0	1	0	0	0	0	0	0	0	0	0
OR9G3P	0	0	0	0	0	0	0	0	0	0	0	0
OR9G4	0	0	0	0	0	0	0	0	0	0	0	0
MIR6128	0	0	0	0	0	0	0	0	0	0	0	0
OR9G2P	0	0	0	0	0	0	0	0	0	0	0	0
OR5G1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5G4P	0	0	0	0	0	0	0	0	0	0	0	0
OR5G5P	0	0	0	0	0	0	0	0	0	0	0	0
OR5G3	0	0	0	0	0	0	0	0	0	0	0	0
AP000479.1	0	0	0	0	0	0	0	0	0	0	0	0
FADS2P1	0	0	0	0	0	0	0	0	0	0	0	0
OR5AK3P	0	0	0	0	0	0	0	0	0	0	0	0
OR5AK2	0	0	0	0	0	0	0	0	0	0	0	0
OR5AK1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5BQ1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5AK4P	0	0	0	0	0	0	0	0	0	0	0	0
OR5AO1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5BP1P	0	0	0	0	0	0	0	0	0	0	0	0
LRRC55	0	0	0	0	0	0	0	0	0	0	0	0
APLNR	0	0	0	0	0	0	0	0	0	0	0	0
TNKS1BP1	355	388	293	289	272	359	352	391	646	611	425	388
RP11-872D17.4	0	3	1	3	0	0	2	0	2	0	2	4
SSRP1	3804	4691	3679	3730	4513	4104	4427	5553	4833	4677	4231	4681
P2RX3	2	1	0	0	0	0	0	0	0	0	0	0
PRG3	0	5	0	0	0	0	0	0	0	0	0	0
PRG2	8	15	17	1	9	7	0	2	3	3	9	0
RP11-872D17.8	0	1	0	0	1	0	1	0	4	12	4	0
SLC43A3	663	1128	827	505	1048	1159	1209	461	1129	1624	1160	708
RNA5SP341	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP259	0	1	0	0	0	0	0	0	0	0	0	0
RTN4RL2	11	5	5	0	16	8	13	0	0	3	9	7
RP11-624G17.3	0	0	0	0	0	0	0	0	0	0	0	0
SLC43A1	990	1331	883	580	1027	749	892	1013	851	936	873	358
RN7SL605P	0	1	0	0	3	0	0	0	1	0	0	0
TIMM10	1391	1795	1295	1986	2486	1997	1785	3421	2053	2185	1988	2377
SMTNL1	15	94	52	81	58	48	62	28	75	80	94	132
UBE2L6	14735	18458	14371	33366	11424	20545	20207	25574	8761	10154	8138	26232
RP11-624G17.1	7	24	11	15	29	13	16	31	23	25	25	10
SERPING1	140	269	238	310	261	366	102	315	42	103	25	106
AP000662.4	1	2	2	3	0	9	0	0	0	0	7	0
MIR130A	4	5	0	0	1	5	0	1	7	9	0	1
YPEL4	384	439	442	327	534	452	645	448	630	849	815	346
CLP1	677	826	692	471	663	645	555	465	698	945	768	658
ZDHHC5	2386	2905	2397	2182	3090	2933	2984	2905	3461	3415	2635	1980
MED19	1137	1498	1157	1324	1603	1543	1656	1580	2302	2214	1913	1676
TMX2	2680	3221	2531	2617	2711	2617	2796	3653	3333	3289	2803	2856
TMX2-CTNND1	0	0	0	0	0	1	0	0	0	0	0	0
AP000662.9	7	5	10	1	4	2	2	1	4	3	0	3
C11orf31	4743	5376	4916	4272	6546	5800	6537	6158	6854	6989	6770	5142
RP11-691N7.6	0	0	1	0	0	0	0	0	0	0	0	0
BTBD18	16	44	13	4	5	44	36	24	65	41	56	18
CTNND1	140	180	250	84	148	276	261	124	307	160	245	146
OR5BA1P	0	1	0	0	0	0	1	0	0	9	0	1
RP11-734C14.2	0	0	0	0	0	0	0	0	0	0	0	0
OR5AZ1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5BD1P	0	0	0	0	0	0	0	0	0	0	0	0
CYCSP26	0	0	0	0	0	0	0	0	0	0	0	0
OR9Q1	0	0	0	1	0	0	0	0	0	0	0	0
RNU6-899P	0	0	0	0	1	0	0	0	0	0	0	0
OR6Q1	0	0	0	0	0	0	0	0	0	0	0	0
VN2R9P	0	0	0	0	0	0	0	0	0	0	0	0
RP11-659P15.1	0	2	0	0	0	0	0	0	0	0	1	0
RP11-659P15.2	0	0	0	0	0	0	0	0	0	0	1	0
OR9L1P	0	0	0	0	0	0	0	0	0	0	0	0
OR9I3P	0	0	0	0	0	0	0	0	1	0	0	0
OR9I1	0	0	0	0	0	0	0	0	0	0	0	0
OR9I2P	0	0	0	0	0	0	0	0	0	0	0	0
OR5BL1P	0	0	0	0	0	0	0	0	0	0	0	0
OR9Q2	0	0	0	0	0	0	0	0	0	0	0	0
OR1S2	0	0	0	0	0	0	0	0	0	0	0	0
OR1S1	0	0	0	0	0	0	0	0	0	0	0	0
OR10Q1	0	0	0	0	0	0	0	0	0	0	0	0
EIF4A2P3	6	4	6	1	6	10	2	4	8	9	5	6
OR10W1	0	0	0	0	0	0	0	0	0	0	0	0
OR10Q2P	0	0	0	0	0	0	0	0	0	0	0	0
OR5BC1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5B19P	0	0	0	0	0	0	0	0	0	0	0	0
OR5B10P	0	0	0	0	0	0	0	0	0	0	0	0
AP000435.3	0	0	0	0	0	0	0	0	0	0	0	0
OR5B17	0	0	0	0	0	0	0	0	0	0	0	0
OR5B1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5B15P	0	0	0	0	0	0	0	0	0	0	0	0
OR5B3	0	0	0	0	0	0	0	0	1	0	0	0
OR5B2	0	7	0	0	0	0	7	0	6	2	15	0
OR5B12	2	0	0	1	0	0	5	0	0	11	0	0
RP11-655C2.3	1	5	3	2	4	4	10	9	6	5	2	16
OR5B21	5	0	0	0	2	1	0	0	0	0	0	0
LPXN	6747	8216	6011	5260	5607	4969	5820	5398	7356	8094	6211	4681
ZFP91	1884	2438	1945	2081	2107	1895	2034	2141	2571	2832	2019	1736
ZFP91-CNTF	0	0	0	0	0	0	0	0	0	0	0	0
CMB9-55A18.1	12	9	21	13	29	13	19	7	21	28	20	18
CNTF	13	6	16	4	16	0	2	15	44	0	6	4
AP001350.4	6	9	1	7	7	2	0	3	5	0	5	0
GLYAT	0	0	0	0	0	4	3	1	0	0	0	0
AP000445.1	0	0	0	0	0	0	0	0	0	0	0	0
AP000445.2	0	0	0	0	0	0	0	0	0	0	0	0
TMA16P1	1	3	0	2	0	0	0	2	0	1	1	1
GLYATL2	0	0	0	0	0	0	0	0	0	0	0	0
GLYATL1P2	0	0	0	0	0	0	0	0	0	0	0	0
GLYATL1	0	0	0	0	0	0	0	0	1	0	0	3
RP11-780O24.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-142C4.6	0	1	6	1	0	0	0	0	0	0	7	0
RP11-142C4.4	0	0	0	0	0	0	0	0	0	0	0	0
GLYATL1P1	0	0	0	0	0	0	0	0	0	0	0	1
RP11-142C4.5	0	0	0	0	0	0	0	0	0	0	0	0
GLYATL1P4	0	0	0	0	0	0	0	0	0	0	0	0
AP001258.1	2	0	0	0	0	0	0	0	0	0	0	0
FAM111B	11	57	6	66	10	39	14	66	26	0	7	32
AP001258.4	323	479	385	344	419	415	449	611	389	585	359	339
AP001258.5	0	1	0	0	0	0	0	0	0	12	0	0
FAM111A	1789	2851	2357	2734	2280	2124	2474	2969	2426	1911	2198	1846
DTX4	25	74	66	39	121	98	88	86	28	68	82	32
MPEG1	41	26	23	43	163	28	11	80	29	16	10	25
RN7SL42P	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1036E20.10	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1036E20.8	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1036E20.9	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1036E20.7	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL435P	0	0	0	0	0	0	0	0	0	0	0	0
OR5AN2P	0	0	0	0	0	0	0	0	0	0	0	0
OR5BR1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5AN1	0	1	0	0	0	1	0	0	0	0	0	0
OR5BB1P	0	0	0	0	0	0	0	0	0	0	0	0
OR5A2	0	0	1	0	0	0	1	0	0	0	0	0
OR5A1	0	0	0	0	0	0	0	0	0	0	0	0
OR4D6	0	0	0	0	0	0	0	0	0	0	0	0
OR4D10	0	0	0	0	0	0	0	1	0	0	0	0
OR4D8P	0	0	0	0	0	0	0	0	0	0	0	0
OR4D11	0	0	0	0	0	0	0	0	1	0	0	0
OR4D9	0	3	0	0	0	0	1	2	1	2	0	0
OR4D7P	0	0	0	0	0	0	0	0	0	0	0	0
AP000442.4	0	4	2	2	7	0	1	0	9	1	0	0
OSBP	3115	4365	3284	2325	3110	3126	3037	3003	4530	4418	3889	2512
MIR3162	0	0	0	4	0	0	0	0	0	0	0	0
AP000442.1	77	78	50	38	132	83	152	79	128	123	74	26
PATL1	2727	3741	2688	2069	3129	2704	2857	2331	2197	2415	1843	1507
AP000640.2	9	3	0	1	0	0	3	0	0	0	7	2
RN7SKP192	0	0	0	0	0	0	0	0	0	0	0	0
OR10V1	0	0	0	0	0	0	0	0	0	0	0	0
STX3	221	438	339	451	442	438	388	468	484	384	402	437
OR10Y1P	0	0	0	0	0	0	0	0	0	0	0	0
OR10V3P	0	0	0	0	0	0	0	0	0	0	0	0
OR10V2P	0	0	0	0	0	0	0	0	0	0	0	0
AP000640.10	2	1	0	0	0	3	2	0	0	1	1	0
AP000640.9	5	4	5	10	6	1	6	20	7	8	1	10
MRPL16	2488	3057	2581	2882	3136	2794	2676	3577	3830	4083	3412	2675
GIF	0	0	0	0	0	0	0	2	0	0	0	0
TCN1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2514A21.4	1	0	0	0	0	0	0	0	0	0	2	0
CTD-2514A21.3	0	1	0	0	0	0	0	0	0	0	0	0
RP11-736I10.9	0	0	0	0	0	0	0	0	0	0	0	0
RP11-736I10.8	0	0	0	0	0	0	0	0	0	0	0	0
RP11-736I10.7	0	0	0	0	0	0	0	0	0	0	0	0
RP11-736I10.1	0	0	1	0	0	0	0	0	0	0	0	0
OOSP2	0	0	0	0	0	0	0	0	0	0	0	0
MS4A3	8	14	24	4	1	9	0	12	9	0	0	1
RP11-736I10.2	0	0	0	0	0	0	0	0	1	0	0	0
MS4A2	48	12	64	19	12	28	12	33	24	16	11	6
AP001257.1	1	0	0	0	0	0	0	5	8	2	0	0
MS4A6A	68	18	28	13	164	11	45	47	75	49	36	17
MS4A4E	0	0	0	0	3	0	0	0	0	0	0	0
MIR6503	0	0	0	0	0	0	0	0	0	0	0	0
MS4A4A	6	37	11	16	0	25	3	8	0	0	0	1
MS4A6E	1	0	0	0	0	0	0	0	0	0	0	3
MS4A7	117	91	45	113	134	39	17	34	10	25	2	26
MS4A14	0	0	5	0	2	1	0	3	0	0	0	0
MS4A5	0	0	0	0	0	0	0	0	0	0	0	0
MS4A1	120	187	153	134	147	187	296	271	61	13	78	46
MS4A12	0	0	0	0	0	0	0	0	0	0	0	0
MS4A13	0	0	0	0	0	0	0	0	0	0	0	0
RP11-448N3.1	0	0	0	0	0	0	0	0	0	0	0	0
AP004243.1	0	0	0	0	0	0	0	0	0	0	0	0
MS4A8	0	0	0	0	0	0	0	0	0	0	0	0
MS4A18	0	0	0	0	0	0	0	0	0	0	0	0
MS4A15	0	0	0	0	0	0	0	0	0	0	0	0
MS4A10	0	2	0	0	0	0	0	0	0	0	0	0
RP11-804A23.1	2	0	0	0	0	0	0	0	2	0	0	0
RP11-804A23.2	0	0	2	0	0	0	0	1	0	0	0	0
RP11-804A23.4	0	0	0	1	0	0	0	0	0	0	0	1
CCDC86	342	418	386	438	379	316	331	609	607	577	387	562
PTGDR2	72	108	107	60	55	30	62	80	28	31	26	20
ZP1	18	60	38	23	67	40	92	31	32	24	53	31
PRPF19	1690	2341	1764	1556	2124	1740	1506	2124	1745	1673	1978	1499
RP11-881M11.2	3	14	3	8	7	16	5	7	20	43	5	20
RP11-881M11.1	2	0	0	5	0	0	3	2	2	2	1	0
TMEM109	7327	8580	6333	6141	8735	8632	8486	9934	7929	8563	6166	5587
RP11-881M11.4	0	0	0	0	0	0	0	0	0	0	0	3
TMEM132A	3	5	0	3	0	1	6	0	0	0	0	2
SLC15A3	38	42	52	23	183	144	50	142	209	149	165	190
CD6	15546	19996	16251	13982	27223	25995	29021	28841	32976	34691	27866	19373
RNU6-933P	8	0	10	0	4	2	2	1	17	7	13	6
RP11-881M11.8	1	1	3	0	6	1	1	3	2	1	3	0
CD5	15853	18042	14496	10979	21026	18490	19794	20286	19363	22813	15862	9537
VPS37C	98	168	77	128	132	107	115	161	173	230	189	125
AP000437.3	5	9	8	1	15	8	15	2	13	18	21	5
PGA3	0	0	0	0	0	0	0	0	0	0	0	0
PGA4	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2331C18.5	0	0	0	0	0	0	0	0	0	0	0	0
PGA5	0	0	0	0	0	0	2	0	0	0	0	0
VWCE	4	4	8	13	1	10	2	16	14	0	11	3
DDB1	3977	5258	4485	3700	3808	3741	3691	5018	5363	5417	4494	3580
